diag_name,component,in_paper_scope,new_vs_base,strict_records,source_tus,injector_count,languages,projects,strategies,campaign_count,injector_ids
err_32_bit_builtin_64_bit_tgt,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-aa4e640de73111a6
err__Pragma_malformed,Lex,true,true,2,2,1,c++,llvm,gemma_append_witness_injector_replay|synthesized_injector_campaign,2,fuzzlang-v2-fca4dce584e33ab4
err_abi_tag_on_redeclaration,Sema,true,false,1,1,1,c++,llvm,gemma_code_witness_injector_replay,1,fuzzlang-v1-71658a4f6628482d
err_abstract_type_in_decl,Sema,true,false,2,2,1,c++,llvm,gemma_code_witness_bootstrap|synthesized_injector_campaign,2,fuzzlang-v1-408e67321c6ef194
err_acc_clause_appertainment,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-4bfec3d471d7dc41
err_acc_construct_appertainment,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-9627c5d6c89ecf98
err_acc_construct_one_clause_of,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-6218820219d346f0
err_acc_duplicate_clause_disallowed,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-87b97d3981b62933
err_acc_int_arg_invalid,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-3378881dbc85cd84
err_acc_int_expr_requires_integer,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-965572a6e6d9574e
err_acc_invalid_clause,Parse,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-836171fce2bf7480
err_acc_invalid_default_type,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-e1ed2723b24975b6
err_acc_invalid_directive,Parse,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-f76678804c4092f2
err_acc_loop_not_for_loop,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-68f57e45284472c5
err_acc_not_a_var_ref,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-017caf93c749007b
err_acc_not_a_var_ref_cache,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-9bfe749d58b64a4f
err_acc_not_a_var_ref_use_device_declare,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-5c3b79bac13a241d
err_acc_reduction_type,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-7d9dd99926eef028
err_acc_size_expr_value,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-7d6bd8440c213dc9
err_acc_var_not_pointer_type,Sema,false,false,1,1,1,c++,llvm,gemma_append_witness_injector_replay,1,fuzzlang-v2-73c1444bf99d318d
