label,kind,path,sha256,bytes,rows
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-abseil-v0/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-abseil-v0/run-a/injectors.jsonl,e5237825818fb550ddfd928eb3dabb2be375ce9df20285688e9d5127bfc1d40c,3399,4
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-abseil-v0/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-abseil-v0/run-a/records.jsonl,5917ceec6431a24bbde607f4d300496f82261b2d6a4757a7056b8b38894a303b,363690,25
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v0/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v0/run-a/injectors.jsonl,29ddc58d91b827e8cc5a52442628f6db57a1bf9443931dda8a770f32aabb5700,1536,2
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v0/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v0/run-a/records.jsonl,e854a9e79de1422a80fff0b01f966be2df0fe90746330b64d3a5dfcbb20809d0,17538,4
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v1/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v1/run-a/injectors.jsonl,1c03dbac34036fc1df450f34fd941de700b979e4454c407269dc74ec252930a9,1698,2
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v1/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v1/run-a/records.jsonl,b725af206c17b4c0f12663dbbf30f23ea3b00924a27b8eeeaa8f4dceb353060f,23778,4
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v10/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v10/run-a/injectors.jsonl,47c55141d2adb17fd198750b00aea348a43b1cce9ffcdc662fe5eaa869dd5f61,880,1
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v10/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v10/run-a/records.jsonl,b29b50b5558d0ab49fe507a5531a8cad01e566b1b78b5407b29b35b20a7e36ff,59776,8
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v10b/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v10b/run-a/injectors.jsonl,f92fd832b5ee02c2f1fcd432bb98e853cd82aae4e169164528f37b2983f1a3b8,801,1
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v10b/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v10b/run-a/records.jsonl,eb05cbd3f93036754009f7c7bd4ba36168a41c0a28a453e2c8f40dff675b42bf,119263,7
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v12/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v12/run-a/injectors.jsonl,7ceae8de8cafeb73b8b4f41225a1bf1ab119975fd3a1e91be8b0ccb117e80b6f,13331,15
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v12/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v12/run-a/records.jsonl,9664ab4a5de49d79442f973c72efeb9365f60eda64f30d94cf8c69ee003b9d47,564244,51
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v13/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v13/run-a/injectors.jsonl,2f106e02474beefc5dfe543299571b38c1cbf8baa0433b7dc3ed2cce97b7c9cd,12533,13
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v13/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v13/run-a/records.jsonl,b79ae3d6b31e1ad246b9eda559fac025c3e6fad862039d2d17047525fa32d177,428525,40
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v14/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v14/run-a/injectors.jsonl,edf79ce168493196a746df6ebfb8228621c5ce7557b919af07c089e0c3817b43,19713,21
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v14/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v14/run-a/records.jsonl,8c502e15d3de28196b8b7049b81619509e219892e5d2304edf4927c4b812cd15,2617853,83
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v15/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v15/run-a/injectors.jsonl,86f70cbfc6e04f6c6de991f558df5e359976a1ce0573718f753d6f78bb0d16d3,21583,24
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v15/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v15/run-a/records.jsonl,002d009509bd7f7613aaa9897d05634d2fda25e8193558702ed8f4e4569fc480,2680432,77
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v16/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v16/run-a/injectors.jsonl,49b97c4c0f32e27b87bfdaaaea8f38b5b5e32961a177da2522db3f48ae867c09,12762,14
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v16/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v16/run-a/records.jsonl,f9348b1dc0f1826982be458a62a6a14eb586f16f4a5a6e098e3a093385129222,2244756,67
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v17/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v17/run-a/injectors.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v17/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v17/run-a/records.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v17/run-b,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v17/run-b/injectors.jsonl,0f1ee0579d4bcee8e92673e3edfe7210b739ecf25873bd2e46ebf348de5c1edf,24495,27
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v17/run-b,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v17/run-b/records.jsonl,7d3d01751a8f73fc93f6843a68932b60a6fe17c2fc6ca148e6e446b23dd9418c,3288098,89
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v18/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v17/run-context-variants/injectors.jsonl,b8dd97ae7de668983b75fbf433a4479cd71bde5a7249b76edd75f79b608e96fe,89099,53
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v18/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v18/run-a/records.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v18/run-b,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v18/run-a/injectors.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v18/run-b,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v18/run-b/records.jsonl,9b54a27c8401e36be6262dff5ddc64ba8d4036f94740922022cc114b6e4cc672,31508402,75
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v19/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v18/run-b/injectors.jsonl,e169721bb9763d29e4acf61f3943ae9f245eb0ec5454e4542c404ecfe4d46c28,24283,25
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v19/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v19/run-a/records.jsonl,a99935dc1d53a984debab8ba4e98a8e152edc1a9f58401e36130c0be67af4b90,4279420,155
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v2/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v18/run-context-variants/injectors.jsonl,1f67d3d9c70f39760d80087098ef126105ea9bc2edacb7f4d355c65619e575b6,103621,51
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v2/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v2/run-a/records.jsonl,9373c466160562ab6b57654214bab01eb68683a7c17248d0ddb6d0484784dbed,17839,4
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v20/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v19/run-a/injectors.jsonl,b897e135539eabf04cc0794e14c1ab02f92df420980cd3d074f448351bf64cb9,38933,46
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v20/run-a,records,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v20/run-a/records.jsonl,76c4de1c01b5a7ab95539ff3e52b28317d8e211ed7e445d42d6abeb1b06e567d,5149578,128
compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v21/run-a,injectors,data/gen/experiments/compiler-evidence-injector-v0/scale-witness-v1/code-witness-bootstrap-v2/run-a/injectors.jsonl,8fa9143ad978896abd4271b3a5da090e781811d4622ce644490cf08a8b56a6a1,1698,2
