diagnostic_name,component,is_current_strict_catalog_gap,test_reachable,strict_diagnostic_covered,pending_direct_request_count,pending_witness_request_count,language_modes,batches,status
err__Pragma_malformed,Lex,true,true,false,1,3,c++,cpp23-preprocessor-direct-batch-0020,staged_request_not_an_injector_or_record
err_acc_branch_in_out_compute_construct,Sema,true,true,false,1,3,c++,cpp23-openacc-direct-batch-0019,staged_request_not_an_injector_or_record
err_acc_clause_after_device_type,Sema,true,true,false,1,3,c++,cpp23-openacc-direct-batch-0019,staged_request_not_an_injector_or_record
err_acc_clause_cannot_combine,Sema,true,true,false,1,3,c++,cpp23-openacc-direct-batch-0019,staged_request_not_an_injector_or_record
err_acc_clause_cannot_combine_same_device_type,Sema,true,true,false,1,3,c++,cpp23-openacc-direct-batch-0019,staged_request_not_an_injector_or_record
err_acc_declare_required_clauses,Sema,true,true,false,1,3,c++,cpp23-openacc-direct-batch-0019,staged_request_not_an_injector_or_record
err_acc_insufficient_loops,Sema,true,true,false,1,3,c++,cpp23-openacc-direct-batch-0019,staged_request_not_an_injector_or_record
err_acc_int_expr_multiple_conversions,Sema,true,true,false,1,3,c++,cpp23-openacc-direct-batch-0019,staged_request_not_an_injector_or_record
err_acc_invalid_default_clause_kind,Parse,true,true,false,1,3,c++,cpp23-openacc-direct-batch-0019,staged_request_not_an_injector_or_record
err_acc_loop_variable,Sema,true,true,false,1,3,c++,cpp23-openacc-direct-batch-0019,staged_request_not_an_injector_or_record
err_acc_missing_directive,Parse,true,true,false,1,3,c++,cpp23-openacc-direct-batch-0019,staged_request_not_an_injector_or_record
err_acc_reduction_recipe_no_op,Sema,true,true,false,1,3,c++,cpp23-openacc-direct-batch-0019,staged_request_not_an_injector_or_record
err_alias_not_supported_on_darwin,Sema,true,true,false,2,4,c|c++,c17-i386-darwin-target-batch-0017|cpp-darwin-alias-batch-0001,staged_request_not_an_injector_or_record
err_arc_inconsistent_property_ownership,Sema,true,true,false,1,3,objective-c++,objcxx-bare-foundation-batch-0004,staged_request_not_an_injector_or_record
err_arc_strong_property_ownership,Sema,true,true,false,1,3,objective-c++,objcxx-bare-foundation-batch-0004,staged_request_not_an_injector_or_record
err_arc_weak_no_runtime,Sema,true,true,false,1,3,objective-c++,objcxx-bare-foundation-batch-0004,staged_request_not_an_injector_or_record
err_at_defs_cxx,Parse,true,true,false,1,3,objective-c++,objcxx-bare-foundation-batch-0004,staged_request_not_an_injector_or_record
err_at_in_class,Parse,true,true,false,1,3,objective-c++,objcxx-bare-foundation-batch-0004,staged_request_not_an_injector_or_record
err_atimport,Parse,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0004|objcxx-bare-foundation-batch-0004,staged_request_not_an_injector_or_record
err_atomic_property_nontrivial_assign_op,Sema,true,true,false,1,3,objective-c++,objcxx-bare-foundation-batch-0004,staged_request_not_an_injector_or_record
err_atprotocol_protocol,Sema,true,true,false,2,6,objective-c|objective-c++,objc-bare-sema-batch-0003|objcxx-bare-foundation-batch-0004,staged_request_not_an_injector_or_record
err_builtin_aix_os_unsupported,Sema,true,true,false,1,1,c++,cpp-aix-cpu-builtin-batch-0001,staged_request_not_an_injector_or_record
